reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='10' scan='1'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='10' scan='17'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='10' scan='1'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='10' scan='17'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='11' scan='1'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='11' scan='17'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='11' scan='1'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='11' scan='17'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='10,11' scan='1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='10,11' scan='1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17'
antenna='16&26' scan='17' timerange='2016/06/19/01:51:55~2016/06/19/01:54:22' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='16&26' scan='17' timerange='2016/06/19/02:05:21~2016/06/19/02:07:48' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='3&26' scan='17' timerange='2016/06/19/01:39:51~2016/06/19/01:42:18' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='3&26' scan='17' timerange='2016/06/19/01:41:11~2016/06/19/01:43:38' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='3&26' scan='17' timerange='2016/06/19/01:46:33~2016/06/19/01:49:00' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='3&26' scan='17' timerange='2016/06/19/01:47:54~2016/06/19/01:50:21' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='3&26' scan='17' timerange='2016/06/19/01:49:14~2016/06/19/01:51:41' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='3&26' scan='17' timerange='2016/06/19/01:50:35~2016/06/19/01:53:02' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='3&26' scan='17' timerange='2016/06/19/01:51:55~2016/06/19/01:54:22' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='3&26' scan='17' timerange='2016/06/19/02:05:21~2016/06/19/02:07:48' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='2&26' scan='17' timerange='2016/06/19/01:46:33~2016/06/19/01:49:00' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='2&26' scan='17' timerange='2016/06/19/01:47:54~2016/06/19/01:50:21' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='2&26' scan='17' timerange='2016/06/19/01:49:14~2016/06/19/01:51:41' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='2&26' scan='17' timerange='2016/06/19/01:50:35~2016/06/19/01:53:02' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='2&26' scan='17' timerange='2016/06/19/01:51:55~2016/06/19/01:54:22' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='2&26' scan='17' timerange='2016/06/19/02:05:21~2016/06/19/02:07:48' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='25&26' scan='17' timerange='2016/06/19/01:39:51~2016/06/19/01:42:18' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='25&26' scan='17' timerange='2016/06/19/01:46:33~2016/06/19/01:49:00' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='25&26' scan='17' timerange='2016/06/19/01:47:54~2016/06/19/01:50:21' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='25&26' scan='17' timerange='2016/06/19/01:49:14~2016/06/19/01:51:41' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='25&26' scan='17' timerange='2016/06/19/01:50:35~2016/06/19/01:53:02' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='25&26' scan='17' timerange='2016/06/19/02:10:43~2016/06/19/02:13:10' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='6&26' scan='17' timerange='2016/06/19/01:46:33~2016/06/19/01:49:00' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='6&26' scan='17' timerange='2016/06/19/01:47:54~2016/06/19/01:50:21' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='6&26' scan='17' timerange='2016/06/19/01:49:14~2016/06/19/01:51:41' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='6&26' scan='17' timerange='2016/06/19/01:50:35~2016/06/19/01:53:02' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='1&26' scan='17' timerange='2016/06/19/01:42:32~2016/06/19/01:44:59' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='1&26' scan='17' timerange='2016/06/19/01:46:33~2016/06/19/01:49:00' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='1&26' scan='17' timerange='2016/06/19/01:47:54~2016/06/19/01:50:21' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='1&26' scan='17' timerange='2016/06/19/01:49:14~2016/06/19/01:51:41' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='1&26' scan='17' timerange='2016/06/19/01:50:35~2016/06/19/01:53:02' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='1&26' scan='17' timerange='2016/06/19/01:51:55~2016/06/19/01:54:22' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
